Count,City,Club Name,Rating,Reviews,Closing Time,WeightedRating,,TIME_INTEGER,TIME_AVG,TopClubScore
32,Los Angeles,Los Candiles Night Club,4.4,65,2:00 AM,7.976818769,,2,,
33,Los Angeles,Jumbo's Clown Room,4,154,2:00 AM,8.750082883,,2,,
34,Los Angeles,Male Strip Club Los Angeles - Hunk-O-Mania,4.9,152,2:00 AM,10.69103358,,2,,
35,Los Angeles,XS Gentlemen's Club & Afterhours,4,82,2:00 AM,7.65525541,,2,,
36,Los Angeles,Crazy Girls,3.1,21,2:00 AM,4.098879814,,2,,
37,Los Angeles,Nicola's,3.6,106,2:00 AM,7.291101115,,2,,
38,Los Angeles,Xposed Gentlemen's Club,3.1,221,2:00 AM,7.267616048,,2,,
39,Los Angeles,Plan B,3.2,85,2:00 AM,6.174140562,,2,,
40,Los Angeles,The Viper Room,4.4,211,2:00 AM,10.2268428,,2,,
41,Los Angeles,Club Burlesque Topless Strip Club Lounge and Bar North Hollywood,3.7,34,2:00 AM,5.666471993,,2,,
42,Los Angeles,TJ's Showgirls,3.5,68,2:00 AM,6.413781194,,2,,
43,Los Angeles,Star Garden Topless Dive Bar North Hollywood,2.7,91,4:00 AM,5.289411759,,4,,
44,Los Angeles,The Holiday Gentlemens Club Orange County,4.5,26,2:00 AM,6.367380066,,2,,
45,Los Angeles,Sound Nightclub,3.9,499,2:00 AM,10.52259213,,2,,
46,Los Angeles,Tropical Club,3.3,24,4:00 AM,4.554697098,,4,,
47,Los Angeles,Black Diamond Male Revue & Strippers Club,3.4,20,2:00 AM,4.423501985,,2,,
48,Los Angeles,Club Tempo,4,272,2:00 AM,9.738275616,,2,,
49,Los Angeles,The Body Shop,3.5,86,2:00 AM,6.770744579,,2,,
50,Los Angeles,Giggles Night Club,3.6,457,2:00 AM,9.57569832,,2,,
51,Los Angeles,Candy Cat Too!,3.9,59,4:00 AM,6.906322845,,4,,
52,Los Angeles,The Library Gentlemen's Club,3.5,126,2:00 AM,7.351296908,,2,,
53,Los Angeles,Gold Club Topless Bar,4.1,23,2:00 AM,5.583084128,,2,,
54,Los Angeles,Spearmint Rhino Gentlemen's Club Torrance,3.4,75,5:00 AM,6.375208296,,5,,
55,Los Angeles,VIP Cabaret,3.7,60,2:00 AM,6.579159626,,2,,
56,Los Angeles,Dragonfly Hollywood,3.2,107,2:00 AM,6.494028089,,2,,
57,Los Angeles,La Mirage Restaurant & Nightclub,3.1,277,2:00 AM,7.571687284,,2,,
58,Los Angeles,Bliss Show Girls,3.3,59,2:00 AM,5.843811638,,2,,
,,,,,,,,,,
1,Manhattan,Hoops Cabaret,4.9,1200,4:00 AM,15.08798811,4.258706176,4,4,18.75542969
2,Manhattan,Rick's Cabaret New York,4.4,718,4:00 AM,12.56694755,,4,,
3,Manhattan,Vivid Cabaret,4.6,542,4:00 AM,12.57639672,,4,,
4,Manhattan,Sapphire New York,4.2,386,4:00 AM,10.86366668,,4,,
5,Manhattan,Sapphire Times Square NYC Gentlemen's Club,4.2,164,4:00 AM,9.302344162,,4,,
6,Manhattan,Wonderland Gentlemen's Club,4,81,4:00 AM,7.633940076,,4,,
7,Manhattan,FlashDancers Downtown,3.9,173,4:00 AM,8.728379802,,4,,
8,Manhattan,Flashdancers NYC,3.9,264,4:00 AM,9.444255315,,4,,
9,Manhattan,Sapphire 39,4.4,301,4:00 AM,10.90569258,,4,,
10,Manhattan,Spearmint Rhino Gentlemen's Club New York City,4.1,82,4:00 AM,7.846636795,,4,,
11,Manhattan,Larry Flynt's Hustler Club New York | Best NYC Strip Club,4.2,80,4:00 AM,7.992977945,,4,,
12,Manhattan,HQ KONY Gentlemen's Club,4.6,89,4:00 AM,8.967194031,,4,,
13,Manhattan,Rosewood Theater | Best Upscale Stripclub in New York City,4.4,171,4:00 AM,9.825182886,,4,,
14,Manhattan,Platinum Dolls Gentlemen's Club & Sports Bar,3.2,71,4:00 AM,5.924026716,,4,,
15,Manhattan,230 Fifth Rooftop Bar,4.3,23000,4:00 AM,18.75542969,,4,,
,,,,,,,,,,
1,Memphis,Unknown,4.2,254,3:00 AM,10.10030161,4.144347599,3,3,12.14437907
2,Memphis,The Pony - Memphis Strip Club,4.1,158,3:00 AM,9.014494057,,3,,
3,Memphis,Gold Club,3.3,112,3:00 AM,6.762419475,,3,,
4,Memphis,Candyland,3.9,42,3:00 AM,6.330672233,,3,,
5,Memphis,The Gentleman,4.5,13,3:00 AM,5.012745085,,3,,
6,Memphis,Coyote Ugly Saloon,3.9,1300,3:00 AM,12.14437907,,3,,
7,Memphis,Catwalk of Memphis,3.9,39,3:00 AM,6.205151967,,3,,
8,Memphis,The Orchid Club,4.5,106,3:00 AM,9.113876394,,3,,
9,Memphis,Club Genesis,3.9,15,3:00 AM,4.58675591,,3,,
10,Memphis,La Tropicana Night Club,4.5,15,3:00 AM,5.292410666,,3,,
11,Memphis,One Block North,4.5,22,3:00 AM,6.040902064,,3,,
12,Memphis,Highland Strip,4.8,5,3:00 AM,3.355056021,,3,,
13,Memphis,Club 240,4.4,10,3:00 AM,4.4,,3,,
14,Memphis,Memphis Nites,4.5,59,3:00 AM,7.968834052,,3,,
15,Memphis,Legends Lounge,5,6,3:00 AM,3.890756252,,3,,
16,Memphis,GZBC Memphis LLC,4,4,3:00 AM,2.408239965,,3,,
17,Memphis,The Soul Train Lounge Formally Paradise Entertainment Center Continues,4.1,150,3:00 AM,8.921974162,,3,,
18,Memphis,Club 152,3.8,116,3:00 AM,7.844940359,,3,,
19,Memphis,James' Lounge,4.2,31,3:00 AM,6.263719114,,3,,
20,Memphis,Classic Hitz,4.3,109,3:00 AM,8.760933941,,3,,
,,,,,,,,,,
1,Miami,Scarlett's Cabaret Miami,4.6,2100,2:00 AM,15.28220876,3.995445834,2,2.717948718,18.59040635
2,Miami,Tootsie's Cabaret Miami,4.5,2300,2:00 AM,15.12777526,,2,,
3,Miami,Bellas Cabaret - Miami Strip Club,4.4,634,2:00 AM,12.32919273,,2,,
4,Miami,E11EVEN MIAMI,3.6,1900,2:00 AM,11.80351296,,2,,
5,Miami,XO Cabaret Miami,5,13,2:00 AM,5.569716762,,2,,
6,Miami,SEXXY LADY CABARET,4.1,200,2:00 AM,9.434222982,,2,,
7,Miami,Booby Trap On The River,3.4,410,2:00 AM,8.883465113,,2,,
8,Miami,Cheetah Hallandale Beach,4.1,714,2:00 AM,11.70016267,,2,,
9,Miami,Gold Rush Cabaret,3.2,243,2:00 AM,7.633940076,,2,,
10,Miami,ONE Gentlemen's Club,3.8,133,2:00 AM,8.070636236,,2,,
11,Miami,Playmates Club,3.8,191,2:00 AM,8.667926796,,2,,
12,Miami,Mango's - Miami,4.6,11000,2:00 AM,18.59040635,,2,,
13,Miami,Erotica Cabaret - Strip Club Miami,4.6,309,2:00 AM,11.45380901,,2,,
14,Miami,Club Pink Pony,4.7,543,2:00 AM,12.8535592,,2,,
15,Miami,The Playhouse Gentlemens Club,4,234,2:00 AM,9.47686343,,2,,
16,Miami,BT'S Gentlemen's Club,3.9,206,2:00 AM,9.024082159,,2,,
17,Miami,Stir crazy cabaret,3.8,81,2:00 AM,7.252243072,,2,,
18,Miami,Club Climaxxx,4.2,52,2:00 AM,7.207214043,,2,,
19,Miami,Bare Necessity,3.8,60,2:00 AM,6.756974751,,2,,
20,Miami,Miami Velvet,3.5,146,2:00 AM,7.575234995,,2,,
21,Miami,Club LEXX,4.2,405,2:00 AM,10.9513111,,2,,
22,Miami,VIP South Beach Miami Nightlife - Nightclub Party Packages,4.5,42,2:00 AM,7.304621807,,2,,
23,Miami,Vice Miami,4.2,37,2:00 AM,6.586447241,,2,,
24,Miami,Klub 24,3.6,96,2:00 AM,7.136176439,,2,,
25,Miami,Showgirls Inc,3.7,135,2:00 AM,7.882234943,,2,,
26,Miami,Victoria's Cabaret,4.2,24,3:00 AM,5.796887215,,3,,
27,Miami,Pink Pussycat Hialeah,5,6,4:00 AM,3.890756252,,4,,
28,Miami,Booby Trap Doral,3.7,295,3:00 AM,9.138341459,,3,,
29,Miami,Vendôme,3.9,1100,3:00 AM,11.86143147,,3,,
30,Miami,Bikini Bar,4.3,465,3:00 AM,11.4700477,,3,,
31,Miami,Miami All Male Strip Club,4.5,22,5:00 AM,6.040902064,,5,,
32,Miami,Playpen 2 Miami,3.8,68,4:00 AM,6.963533868,,4,,
33,Miami,Club Madonna,2.4,255,5:00 AM,5.775696433,,5,,
34,Miami,Candies Cabaret,4.5,33,4:00 AM,6.833312729,,4,,
35,Miami,Dean's Gold,3,145,5:00 AM,6.484104007,,5,,
36,Miami,Coco Miami,3.9,167,4:00 AM,8.668594237,,4,,
37,Miami,Treehouse,3.6,296,5:00 AM,8.89665016,,5,,
38,Miami,Booby Trap South Miami,4.1,15,4:00 AM,4.821974162,,4,,
39,Miami,MAD Club Wynwood,3.9,447,4:00 AM,10.33619934,,4,,
,,,,,,,,,,
1,Milwaukee,Heart Breakers,4.1,187,2:30 AM,9.314550587,3.727834312,2.5,2.5,10.1810299
2,Milwaukee,Silk Exotic Platinum Gentlemen's Club,3.9,175,2:30 AM,8.74784839,,2.5,,
3,Milwaukee,Silk Exotic Downtown MKE Gentlemen's Club,2.9,68,2:30 AM,5.314275847,,2.5,,
4,Milwaukee,Gold Diggers,4.3,83,2:30 AM,8.252035797,,2.5,,
5,Milwaukee,The Encore,3.9,57,2:30 AM,6.847911937,,2.5,,
6,Milwaukee,On the Border,3.3,116,2:30 AM,6.812711364,,2.5,,
7,Milwaukee,Texas Jay's Gentlemen's Club,2.9,78,2:30 AM,5.487074348,,2.5,,
8,Milwaukee,Silk Exotic on Water Gentlemen's Club,2.9,35,2:30 AM,4.477797329,,2.5,,
9,Milwaukee,Rickey's on State,3.8,33,2:30 AM,5.770352972,,2.5,,
10,Milwaukee,The Airport Lounge,3.8,56,2:30 AM,6.643114503,,2.5,,
11,Milwaukee,Show Palace,4.5,183,2:30 AM,10.1810299,,2.5,,
